Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
pretty-in-pink-boutique-gift-card,The Pink Cattle Co. Gift Certificate,,The Pink Cattle Co.,,Gift Cards,"Gift, Gift Card",TRUE,Denominations,25.00,,,,,,0,,0,deny,manual,25.00,,FALSE,FALSE,,https://cdn.shopify.com/s/files/1/0053/8447/0592/products/image_525e756f-5881-41a7-8548-78ac8936c086.jpg?v=1640495749,1,,,,,,g,,,,,active
pretty-in-pink-boutique-gift-card,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0053/8447/0592/products/image_bdb43d19-7b70-4f6d-ba4c-ebc1c3e35a10.png?v=1640495742,2,,,,,,,,,,,
pretty-in-pink-boutique-gift-card,,,The Pink Cattle Co.,,Gift Cards,"Gift, Gift Card",TRUE,Denominations,30.00,,,,,,0,,0,deny,manual,30.00,,FALSE,FALSE,,,,,,,,,g,,,,,active
pretty-in-pink-boutique-gift-card,,,The Pink Cattle Co.,,Gift Cards,"Gift, Gift Card",TRUE,Denominations,40.00,,,,,,0,,0,deny,manual,40.00,,FALSE,FALSE,,,,,,,,,g,,,,,active
pretty-in-pink-boutique-gift-card,,,The Pink Cattle Co.,,Gift Cards,"Gift, Gift Card",TRUE,Denominations,50.00,,,,,,0,,0,deny,manual,50.00,,FALSE,FALSE,,,,,,,,,g,,,,,active
pretty-in-pink-boutique-gift-card,,,The Pink Cattle Co.,,Gift Cards,"Gift, Gift Card",TRUE,Denominations,75.00,,,,,,0,,0,deny,manual,75.00,,FALSE,FALSE,,,,,,,,,g,,,,,active
pretty-in-pink-boutique-gift-card,,,The Pink Cattle Co.,,Gift Cards,"Gift, Gift Card",TRUE,Denominations,100.00,,,,,,0,,0,deny,manual,100.00,,FALSE,FALSE,,,,,,,,,g,,,,,active
hat-holder,Hat Holder,,My Pretty in Pink,,,,TRUE,Style,Thunderbird,,,,,,0,,0,deny,manual,15.95,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0053/8447/0592/files/IMG-20240518_131634.jpg?v=1716056212,1,,,,,,g,,,,,active
hat-holder,,,My Pretty in Pink,,,,TRUE,Style,Hat,,,,,,0,,0,deny,manual,15.95,,TRUE,TRUE,,,,,,,,,g,,,,,active
mini-tooled-crossbody,Mini Tooled Crossbody * Hide will vary,,My Pretty in Pink,,,,TRUE,Title,Default Title,,,,,,0,,0,deny,manual,155.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0053/8447/0592/files/FullSizeRender_a2fefd86-1868-4b3b-acb4-f886a3cdd6cc.heic?v=1717538027,1,,,,,,g,,,,,active
mini-leather-ad-wallet,Mini Leather AD Wallet,,My Pretty in Pink,,,,TRUE,Title,Default Title,,,,,,0,,0,deny,manual,98.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0053/8447/0592/files/FullSizeRender_ceef74f6-4c7c-4355-8494-ad431af95646.heic?v=1717620436,1,,,,,,g,,,,,active
